Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Customer Watch Status Date,Credit Risk Rating,Credit Risk Rating Date,Assigned Risk Rating Date,Primary Industry Group,Primary Industry,Industry Group,Industry,Industry Weighting,Citizenship Class,Assigned Rating/ECGD Status,Loss Given Default,Probability of Default
NEXUS GREEN LIMITED,00306046,001b000003esdNyAAI,COMPANY,Good,NULL,B,2021-02-26,2021-02-26,CIVIL: RENEWABLE ENERGY,SOLAR POWER,CIVIL: RENEWABLE ENERGY,SOLAR POWER,0,YES,CORPORATE,0,0
NISSAN MOTOR COMPANY LIMITED,00319902,00167000055qvlKAAQ,COMPANY,Good,NULL,BB+,2020-12-21,2022-01-26,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,0,NO,CORPORATE,40,0
NISSAN MOTOR MANUFACTURING (UK) LIMITED,00308810,001b000000jvWgdAAE,COMPANY,Good,NULL,BBB-,2020-12-21,2020-12-21,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,0,YES,CORPORATE,50,0
NORDIC TRUSTEE AS,00326693,0014K00000k6Nj9QAE,BANK,Good,NULL,D,2024-01-10,2024-01-10,FINANCIAL,BANK,FINANCIAL,BANK,0,NO,CORPORATE,0,0
OCYAN OIL SERVICES LTD,00326183,0014K00000fGv48QAC,COMPANY,Good,NULL,N/A,2024-04-16,2024-04-16,CIVIL: ENERGY (OIL),ENERGY (OIL) : MISCELLANEOUS,CIVIL: ENERGY (OIL),ENERGY (OIL) : MISCELLANEOUS,0,NO,CORPORATE,0,0
OMEGA FOUNDRY MACHINERY LTD,00311023,001b000000Hy76DAAR,COMPANY,Good,NULL,B+,2005-04-26,2017-08-11,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,0,YES,CORPORATE,0,0
ONUR TAAHHUT TASIMACILIK INSAAT TICARET VE SANAYI ANONIM SIRKETI,00325757,0014K00000dVplEQAS,COMPANY,Good,NULL,N/A,2023-11-06,2023-11-06,CIVIL: CONSTRUCTION,BRIDGES,CIVIL: CONSTRUCTION,BRIDGES,0,NO,CORPORATE,0,0
PETROFAC SERVICES LIMITED,00313236,001b000000jvWifAAE,COMPANY,Good,NULL,N/A,2012-07-12,2012-07-12,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,0,YES,CORPORATE,0,0
POWERX EQUIPMENT LIMITED,00322145,0014K00000NHo0qQAD,COMPANY,Good,NULL,N/A,2021-12-13,2021-12-13,CIVIL: CONSTRUCTION,COMMERICAL,CIVIL: CONSTRUCTION,COMMERICAL,0,YES,CORPORATE,0,0
PRESTIGE DIAGNOSTICS UK,00321814,0014K00000MOtPWQA1,COMPANY,Good,NULL,N/A,2021-12-10,2021-12-10,CIVIL: MEDICAL/SCIENTIFIC EQUIPMENT,CIVIL: MEDICAL/SCIENTIFIC EQUIPMENT MISCELLANEOUS,CIVIL: MEDICAL/SCIENTIFIC EQUIPMENT,CIVIL: MEDICAL/SCIENTIFIC EQUIPMENT MISCELLANEOUS,0,YES,CORPORATE,0,0
PT DAGANG SAMUDERA HUTAMA,00320819,0016700005BosVOAAZ,COMPANY,Good,NULL,BB,2021-05-18,2021-05-18,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,0,NO,CORPORATE,0,0
QUALTER HALL & COMPANY LIMITED,00301463,001b000003XoFL0AAN,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: CONSTRUCTION,CIVIL: CONSTRUCTION MISCELLANEOUS,CIVIL: CONSTRUCTION,CIVIL: CONSTRUCTION MISCELLANEOUS,0,YES,CORPORATE,0,0
REASSURE LTD,00321242,0016700005DWvOTAA1,COMPANY,Good,NULL,N/A,2022-03-02,2022-03-02,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,0,YES,CORPORATE,0,0
ROUGHTON INTERNATIONAL LIMITED,00310205,001b000000Hy7plAAB,COUNTRY,Good,NULL,CCC,2013-06-03,2017-12-20,CIVIL: SERVICES,CIVIL: SERVICES MISCELLANEOUS,CIVIL: SERVICES,CIVIL: SERVICES MISCELLANEOUS,0,YES,CORPORATE,0,0
RUSTON DIESELS LTD,00301803,0010X0000536FmyQAE,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: POWER,CIVIL: POWER MISCELLANEOUS,CIVIL: POWER,CIVIL: POWER MISCELLANEOUS,0,YES,CORPORATE,0,0
SABRE COMPUTERS INTERNATIONAL LTD,00306603,001b000000UllfKAAR,COMPANY,Good,NULL,B+,2015-02-11,2018-05-11,DEFENCE: CATEGORY B (NON SHARP ARMS),DEFENCE: CATEGORY B MISCELLANEOUS,DEFENCE: CATEGORY B (NON SHARP ARMS),DEFENCE: CATEGORY B MISCELLANEOUS,0,YES,CORPORATE,0,0
SANTANDER - SPAIN,00320936,0016700005Br9ItAAJ,BANK,Good,NULL,N/A,2023-10-27,2023-10-27,DEFENCE: CATEGORY A (SHARP ARMS),"GUIDED WEAPONS, MISSILES, LAUNCHERS AND PARTS",DEFENCE: CATEGORY A (SHARP ARMS),"GUIDED WEAPONS, MISSILES, LAUNCHERS AND PARTS",0,NO,CORPORATE,0,0
SBC (UGANDA) LIMITED,00307064,0010X00004uuoPbQAI,COMPANY,Good,NULL,N/A,2016-05-16,2016-05-16,CIVIL: CONSTRUCTION,AIRPORTS,CIVIL: CONSTRUCTION,AIRPORTS,0,YES,CORPORATE,0,0
